indicator_name,countries_reporting
"Multilateral debt service (TDS, current US$)",120
"Debt service on external debt, total (TDS, current US$)",120
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",120
"External debt stocks, total (DOD, current US$)",118
"External debt stocks, short-term (DOD, current US$)",118
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",118
"IBRD loans and IDA credits (DOD, current US$)",116
"PPG, IDA (DOD, current US$)",97
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",92
"PPG, IBRD (DOD, current US$)",63
