country_name,total_debt_billions_usd,gdp_billions_usd,debt_pct_of_gdp
China,2419.8,18729.7,12.9
India,716.5,3760.8,19.1
Brazil,605.5,2185.8,27.7
Mexico,591.3,1830.5,32.3
Turkiye,515.0,1359.1,37.9
Indonesia,421.1,1396.3,30.2
Argentina,242.4,638.4,38.0
Colombia,201.8,420.5,48.0
Ukraine,193.5,190.8,101.4
Thailand,191.8,529.4,36.2
South Africa,175.9,401.1,43.8
Kazakhstan,167.5,291.5,57.5
"Egypt, Arab Rep.",156.0,389.1,40.1
Philippines,137.0,461.7,29.7
Viet Nam,132.9,476.3,27.9
Pakistan,129.7,371.7,34.9
Nigeria,108.8,252.3,43.1
Bangladesh,104.5,450.1,23.2
Peru,93.3,291.8,32.0
Uzbekistan,70.3,121.4,57.9
