indicator_name,debt_billions_usd
"External debt stocks, total (DOD, current US$)",2419.84
"External debt stocks, short-term (DOD, current US$)",1305.87
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",562.63
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",504.11
"Debt service on external debt, total (TDS, current US$)",352.5
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",79.27
"IBRD loans and IDA credits (DOD, current US$)",14.69
"PPG, IBRD (DOD, current US$)",14.69
"Multilateral debt service (TDS, current US$)",5.98
"PPG, IDA (DOD, current US$)",0.0
