country_code,country_name,total_debt_usd,private_png_debt_usd,public_ppg_debt_usd,short_term_debt_usd,ibrd_debt_usd,ida_debt_usd,world_bank_debt_usd,total_debt_service_usd,ppg_debt_service_usd,multilateral_debt_service_usd,region,income_level,debt_pct_gni,short_term_pct_reserves,debt_service_pct_exports,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd,short_term_share,public_ppg_share,private_png_share,multilateral_share,debt_pct_gdp,debt_service_pct_debt,reserves_to_debt,debt_per_capita_usd
AFG,Afghanistan,3344095867.1,17748000.0,1794720843.5,442598969.1,,279735000.0,279735000.0,67599109.7,35055000.0,35055000.0,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,13.2352,,17778508875.7396,416.871146273728,42647492,,0.13235235671751894,0.5366834309856021,0.005307264117218944,0.08365041288202847,18.809765714735075,2.0214465250549756,,78.4124859464186
AGO,Angola,58733063313.6,1751264000.0,46109545925.5,5808502070.9,4491170000.0,283421000.0,4774591000.0,10869612024.9,9857590390.0,491204277.4,Sub-Saharan Africa ,Lower middle income,79.5726391511001,9.8896,28.9122414363047,103080538044.058,2720.81900669715,37885849,14242892504.625,0.09889663067437869,0.7850696579421059,0.029817344800309165,0.08129306953574843,56.97783929736252,18.506802491916126,0.24250212233229407,1550.263881207994
ALB,Albania,10712630800.8,4029941000.0,5081739368.7,1240828000.0,967091000.0,338405000.0,1305496000.0,871913134.4,503589942.8,322907197.2,Europe & Central Asia,Upper middle income,39.7190681766686,11.5828,8.00915421288433,27037474263.2977,11374.0085781236,2377128,6515581527.60071,0.11582850404098098,0.47436894477129793,0.3761859318160252,0.12186511644763376,39.6214183931447,8.139113077012672,0.6082148865910826,4506.543526810504
ARG,Argentina,242357155703.1,35988669000.0,110608485691.5,48583029942.6,10737718000.0,,10737718000.0,39484713949.4,14245524164.4,5074626873.1,Latin America & Caribbean ,Upper middle income,39.0583452380588,20.046,38.2533536654791,638365455340.04,13969.7836603737,45696159,29559610350.7831,0.20046047248597318,0.4563863005018968,0.14849435287187465,0.04430534748953011,37.9652679630045,16.2919530206778,0.1219671449973408,5303.665800512906
ARM,Armenia,16396165488.7,6099796000.0,6314221010.4,3498904000.0,1074773000.0,648662000.0,1723435000.0,1817767854.8,569132972.7,333977301.1,Europe & Central Asia,Upper middle income,65.9870950657396,21.3397,9.17206815657839,25955275380.0321,8556.21406956719,3033500,3685220142.94538,0.2133976997494563,0.38510351793848807,0.37202576445107793,0.10511207642956315,63.17084002627801,11.086542497102625,0.22476109706779798,5405.032302192188
AZE,Azerbaijan,12199421517.2,1815327215.3,9475776171.1,218427000.0,1032787000.0,132895000.0,1165682000.0,4179528918.5,3305254954.2,842731655.6,Europe & Central Asia,Upper middle income,17.0427856612147,1.7904,11.3863005417684,74426000000.0,7294.64276088105,10202830,12699124299.9099,0.017904701439493596,0.7767397952222632,0.1488043685301442,0.09555223568236423,16.391343773949963,34.26005825446124,1.0409611867255646,1195.6899720175677
BDI,Burundi,1023879227.4,,601229941.5,2650120.6,,109468000.0,109468000.0,35822368.6,21188598.9,14505255.1,Sub-Saharan Africa ,Low income,47.1269669797444,0.2588,,3037579858.38142,216.231928531758,14047786,,0.0025883136693080643,0.5872078712122527,,0.10691495351261192,33.70707191696932,3.4986908261598355,,72.88545165764911
BEN,Benin,14162933686.6,2790571000.0,8920517760.1,1269746000.0,,2317489000.0,2317489000.0,1144066295.4,952672658.3,200143787.1,Sub-Saharan Africa ,Lower middle income,66.5543408193995,8.9652,26.8148132358465,21482643706.4249,1485.38018885134,14462724,,0.08965275331348524,0.62984957477701,0.19703340153602833,0.1636305762126564,65.92733129193142,8.0778906455125,,979.2715180487438
BFA,Burkina Faso,10845161721.4,5067696000.0,5121248650.8,0.0,,2616134000.0,2616134000.0,884322429.8,295932097.4,228428172.7,Sub-Saharan Africa ,Low income,48.7617444251463,0.0,13.6006276960344,23136514855.7646,982.493100418428,23548781,,0.0,0.4722150561106524,0.4672771259833101,0.24122590950744105,46.87465588058464,8.154073240374354,,460.5402598716256
BGD,Bangladesh,104486886261.1,9292928000.0,77581679615.2,12945219000.0,,20730695000.0,20730695000.0,8596803872.8,5107969957.4,2710108231.1,South Asia,Lower middle income,22.2547977203389,12.3893,15.7658301164336,450119432068.852,2593.41611680774,173562364,21394795733.0405,0.12389324118293155,0.7425015941362519,0.08893870161637418,0.1984047543363147,23.213147182038853,8.22763906593755,0.20476058286948576,602.013500237298
BGR,Bulgaria,,,,,,,,7316588840.2,2247338948.5,334651946.2,Europe & Central Asia,High income,,,11.0918142755745,113349149166.793,17596.9167621233,6441421,43698277895.9665,,,,,,,,
BIH,Bosnia and Herzegovina,13888491676.4,5184457000.0,4927096260.9,3073363000.0,743296000.0,507750000.0,1251046000.0,1457074413.1,567793264.7,445184130.5,Europe & Central Asia,Upper middle income,49.1550732058777,22.1288,10.8351325250283,29737363103.0492,9397.90942855997,3164253,9418858050.22744,0.22128846469501132,0.35476107670297713,0.37329157987758177,0.09007788816447493,46.70384401021726,10.49123581631209,0.6781771750083143,4389.184959736152
BLR,Belarus,34217084774.6,6630416397.9,16325227185.2,9928836000.0,975447000.0,,975447000.0,5340316288.6,3561720094.9,476175144.7,Europe & Central Asia,Upper middle income,46.1452886653758,29.0171,10.4697875188332,78591839299.7087,8605.60954569694,9132629,8912194598.43984,0.2901718853433816,0.4771074827893734,0.1937750232545201,0.028507600995982367,43.53770706919545,15.607163274658104,0.26046037110255327,3746.685075524255
BLZ,Belize,1558943630.7,90167000.0,1398918336.4,13148000.0,40552000.0,,40552000.0,127493340.7,123939993.7,65085813.6,Latin America & Caribbean ,Upper middle income,46.0428964719523,0.8433,7.67121131772208,3203631800.0,7681.24400583113,417072,498087320.739572,0.008433916237302472,0.8973501728037818,0.05783852489875662,0.02601248640516351,48.661760402677984,8.17818798507504,0.31950309872071503,3737.828554062608
BOL,Bolivia,15717587538.6,1147910000.0,13420156636.5,635358000.0,925767000.0,700044000.0,1625811000.0,1835033911.1,1536743411.3,1095741740.0,Latin America & Caribbean ,Lower middle income,32.5376974869568,4.0423,17.787635656929,54881327452.9667,4421.16609889999,12413315,1977025889.30984,0.04042337912479619,0.8538305642352645,0.07303347267390163,0.10343896580866853,28.63922625062226,11.67503541235852,0.12578430910307103,1266.1877619797774
BRA,Brazil,605463780812.8,309245242000.0,194369174570.4,84282230000.0,15130827000.0,,15130827000.0,114112709865.3,41692900453.8,4958168123.0,Latin America & Caribbean ,Upper middle income,28.6612661075538,13.9202,26.7439339145718,2185821610689.31,10310.5486973693,211998573,329732443813.378,0.13920276104188428,0.32102527141998594,0.5107576238249234,0.024990474210840063,27.699597160715413,18.84715708545114,0.544594828398705,2855.9804542306993
BTN,Bhutan,3400087106.3,43858000.0,3322918899.6,0.0,,419599000.0,419599000.0,161369542.9,157867544.7,46798177.4,South Asia,Lower middle income,,0.0,16.5776241652416,3346603858.7495,4228.05102403654,791524,941017689.206037,0.0,0.9773040500765361,0.0128990812966926,0.12340830892906468,101.59813499917749,4.746041435262037,0.2767628180649935,4295.620987234753
BWA,Botswana,2317990593.0,,1851933959.3,144667000.0,678077000.0,0.0,678077000.0,275163872.5,253412900.6,250897133.2,Sub-Saharan Africa ,Upper middle income,11.9275332021357,6.241,4.71797953358513,19286251067.5078,7649.81663744354,2521139,3455661776.33964,0.062410520748821696,0.7989393765844329,,0.2925279343443824,12.018875959284783,11.87079332120482,1.4908006040987587,919.4219727670708
CAF,Central African Republic,1045905200.4,,438777675.7,126466537.1,,116762000.0,116762000.0,56507514.0,14067424.6,8221891.2,Sub-Saharan Africa ,Low income,35.8540712601052,12.0915,13.3966251157824,2751494281.06887,516.160999996036,5330690,489286576.286085,0.12091586986242506,0.4195195468310055,,0.11163726880346812,38.012261468110275,5.402737645667031,0.46781159143195805,196.20446891490596
CHN,China,2419835436491.8,562633647486.4,504112530899.5,1305871555000.0,14685262000.0,1421000.0,14686683000.0,352496730598.7,79274204382.3,5975220341.6,East Asia & Pacific,Upper middle income,13.0007522555005,53.9653,8.59286077464029,18729668435848.0,13293.1162269366,1408975000,3456024808739.12,0.5396530422305126,0.20832512959242644,0.23250905371568917,0.006069289993245278,12.919798579350772,14.566971178409492,1.428206545214312,1717.443841439202
