country_code,country_name,region,income_level,DT.DOD.DECT.GN.ZS,DT.DOD.DSTC.ZS,DT.TDS.DECT.EX.ZS,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd
ABW,Aruba,Latin America & Caribbean ,High income,,,,4167588070.29217,38590.5650288641,107995,1902250220.0
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,13.2352,,17778508875.7396,416.871146273728,42647492,
AGO,Angola,Sub-Saharan Africa ,Lower middle income,79.5726391511001,9.8896,28.9122414363047,103080538044.058,2720.81900669715,37885849,14242892504.625
ALB,Albania,Europe & Central Asia,Upper middle income,39.7190681766686,11.5828,8.00915421288433,27037474263.2977,11374.0085781236,2377128,6515581527.60071
AND,Andorra,Europe & Central Asia,High income,,,,4044249678.65625,49357.437070178,81938,
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,552324919095.872,50273.5126243239,10986400,237931339945.397
ARG,Argentina,Latin America & Caribbean ,Upper middle income,39.0583452380588,20.046,38.2533536654791,638365455340.04,13969.7836603737,45696159,29559610350.7831
ARM,Armenia,Europe & Central Asia,Upper middle income,65.9870950657396,21.3397,9.17206815657839,25955275380.0321,8556.21406956719,3033500,3685220142.94538
ASM,American Samoa,East Asia & Pacific,High income,,,,,,46765,
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,,,,2162366666.66667,23059.8330702839,93772,358440631.721895
AUS,Australia,East Asia & Pacific,High income,,,,1757022451652.83,64609.9865116088,27194286,60404058269.2777
AUT,Austria,Europe & Central Asia,High income,,,,534790720466.822,58268.8787651601,9177982,35405523062.0747
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,17.0427856612147,1.7904,11.3863005417684,74426000000.0,7294.64276088105,10202830,12699124299.9099
BDI,Burundi,Sub-Saharan Africa ,Low income,47.1269669797444,0.2588,,3037579858.38142,216.231928531758,14047786,
BEL,Belgium,Europe & Central Asia,High income,,,,670983130618.828,56581.9375642531,11858610,42330768016.1494
BEN,Benin,Sub-Saharan Africa ,Lower middle income,66.5543408193995,8.9652,26.8148132358465,21482643706.4249,1485.38018885134,14462724,
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,48.7617444251463,0.0,13.6006276960344,23136514855.7646,982.493100418428,23548781,
BGD,Bangladesh,South Asia,Lower middle income,22.2547977203389,12.3893,15.7658301164336,450119432068.852,2593.41611680774,173562364,21394795733.0405
BGR,Bulgaria,Europe & Central Asia,High income,,,11.0918142755745,113349149166.793,17596.9167621233,6441421,43698277895.9665
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,47210732712.766,29717.1424605273,1588670,4948702759.13155
BHS,"Bahamas, The",Latin America & Caribbean ,High income,,,,15832800000.0,39455.4466548546,401283,2632098082.6404
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,49.1550732058777,22.1288,10.8351325250283,29737363103.0492,9397.90942855997,3164253,9418858050.22744
BLR,Belarus,Europe & Central Asia,Upper middle income,46.1452886653758,29.0171,10.4697875188332,78591839299.7087,8605.60954569694,9132629,8912194598.43984
BLZ,Belize,Latin America & Caribbean ,Upper middle income,46.0428964719523,0.8433,7.67121131772208,3203631800.0,7681.24400583113,417072,498087320.739572
BMU,Bermuda,North America,High income,,,,9194499000.0,142250.433195123,64636,
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,32.5376974869568,4.0423,17.787635656929,54881327452.9667,4421.16609889999,12413315,1977025889.30984
BRA,Brazil,Latin America & Caribbean ,Upper middle income,28.6612661075538,13.9202,26.7439339145718,2185821610689.31,10310.5486973693,211998573,329732443813.378
BRB,Barbados,Latin America & Caribbean ,High income,,,,7597571450.0,26897.2002039176,282467,1653675115.41191
BRN,Brunei Darussalam,East Asia & Pacific,High income,,,,15340808592.48,33153.4738913513,462721,4414307817.04608
BTN,Bhutan,South Asia,Lower middle income,,0.0,16.5776241652416,3346603858.7495,4228.05102403654,791524,941017689.206037
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,11.9275332021357,6.241,4.71797953358513,19286251067.5078,7649.81663744354,2521139,3455661776.33964
CAF,Central African Republic,Sub-Saharan Africa ,Low income,35.8540712601052,12.0915,13.3966251157824,2751494281.06887,516.160999996036,5330690,489286576.286085
CAN,Canada,North America,High income,,,,2270076189683.46,55015.7066917734,41262329,119778473396.958
CHE,Switzerland,Europe & Central Asia,High income,,,,969919786394.884,107702.065940312,9005582,909365744096.394
CHI,Channel Islands,Europe & Central Asia,High income,,,,,,168126,
CHL,Chile,Latin America & Caribbean ,High income,,,,329260633698.726,16658.9652720351,19764771,44403009394.3695
CHN,China,East Asia & Pacific,Upper middle income,13.0007522555005,53.9653,8.59286077464029,18729668435848.0,13293.1162269366,1408975000,3456024808739.12
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,48.8304044647452,10.5627,24.7283736134001,87113179149.284,2727.8935220697,31934230,
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,31.2876251648885,6.0294,,53296694320.2057,1830.00833684727,29123744,5061511549.89538
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,18.2538680171709,3.8127,1.32142230470742,75716176105.0704,692.887665085098,109276265,
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,44.8962409480798,9.7613,13.5644191652699,15719986076.6464,2482.2489948456,6332961,758550233.065437
COL,Colombia,Latin America & Caribbean ,Upper middle income,49.2038699846531,9.4431,42.9975933296769,420504033143.211,7951.08624019412,52886363,61897968642.424
COM,Comoros,Sub-Saharan Africa ,Lower middle income,24.8117198831103,0.0,17.3446983217314,1610082688.26617,1857.87060684189,866628,323945586.380687
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,86.8866144784781,16.4474,12.623937653653,2713721857.39153,5170.20531932535,524877,783105557.825454
CRI,Costa Rica,Latin America & Caribbean ,High income,,,,96715644330.6612,18853.2828705886,5129910,14177018013.5179
CUB,Cuba,Latin America & Caribbean ,Upper middle income,,,,,,10979783,
CUW,Curacao,Latin America & Caribbean ,High income,,,,3561178212.2905,22832.895498987,155967,
CYM,Cayman Islands,Latin America & Caribbean ,High income,,,,7765336505.34319,104292.900672109,74457,252096650.4
CYP,Cyprus,Europe & Central Asia,High income,,,,37634551820.7367,38674.3125,1358282,2087252552.47629
CZE,Czechia,Europe & Central Asia,High income,,,,347082562221.377,31827.7552539413,10905028,146281239761.971
DEU,Germany,Europe & Central Asia,High income,,,,4685592577804.69,56103.7323182554,83516593,377935141356.243
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,83.8288747209446,14.9872,2.52675252956975,4152145939.98458,3552.72335079222,1168722,348725427.269846
DMA,Dominica,Latin America & Caribbean ,Upper middle income,82.3567303337689,30.4936,29.4152919032151,688881481.481481,10405.2787777582,66205,155971242.017246
DNK,Denmark,Europe & Central Asia,High income,,,,424524722037.047,71026.4832271897,5976992,108405100882.539
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,45.3336943010045,7.7828,22.0407214085418,124282245638.568,10875.6618443092,11427557,13471257812.8679
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.66774817396092,25.4556,0.797700031642401,269322281664.773,5752.99076651465,46814308,83007108429.3211
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,49.7486298154549,1.0373,21.8576635137655,123802374000.0,6826.5294137822,18135478,6907743954.50087
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,41.9820138564051,19.8722,49.2291017973666,389059910593.1,3338.47371043679,116538258,44921341018.4659
ERI,Eritrea,Sub-Saharan Africa ,Low income,,6.6994,,,,3535603,
ESP,Spain,Europe & Central Asia,High income,,,,1725671652742.19,35326.7683069278,48848840,107774143968.875
