country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3344095867.1
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10712630800.8
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6898271361.0
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,58733063313.6
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,242357155703.1
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,16396165488.7
Azerbaijan,AZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12199421517.2
Bangladesh,BGD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,104486886261.1
Belarus,BLR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,34217084774.6
Belize,BLZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1558943630.7
Benin,BEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,14162933686.6
Bhutan,BTN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3400087106.3
Bolivia,BOL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,15717587538.6
Bosnia and Herzegovina,BIH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,13888491676.4
Botswana,BWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2317990593.0
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,605463780812.8
Burkina Faso,BFA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10845161721.4
Burundi,BDI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1023879227.4
Cabo Verde,CPV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2359581722.2
Cambodia,KHM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,20977325204.1
Cameroon,CMR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,15770789430.1
Central African Republic,CAF,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1045905200.4
Chad,TCD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3348359914.3
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2419835436491.8
Colombia,COL,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,201763641280.4
Comoros,COM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,385570286.6
"Congo, Dem. Rep.",COD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,12484889882.1
"Congo, Rep.",COG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6728317971.4
Cote d'Ivoire,CIV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,40560965965.1
Djibouti,DJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3457016382.4
Dominica,DMA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,569530343.0
Dominican Republic,DOM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,53293949023.3
Ecuador,ECU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,60364730466.4
"Egypt, Arab Rep.",EGY,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,155972716013.2
El Salvador,SLV,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,24961880871.3
Eritrea,ERI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,693278616.9
Eswatini,SWZ,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1238600512.2
Ethiopia,ETH,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,36548259483.3
Fiji,FJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3868919895.3
Gabon,GAB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6816627454.3
