country_code,country_name,total_debt_usd,private_png_debt_usd,public_ppg_debt_usd,short_term_debt_usd,ibrd_debt_usd,ida_debt_usd,world_bank_debt_usd,total_debt_service_usd,ppg_debt_service_usd,multilateral_debt_service_usd,region,income_level,debt_pct_gni,short_term_pct_reserves,debt_service_pct_exports,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd,short_term_share,public_ppg_share,private_png_share,multilateral_share,debt_pct_gdp,debt_service_pct_debt,reserves_to_debt,debt_per_capita_usd,risk_rating,high_risk
AFG,Afghanistan,3344095867.1,17748000.0,1794720843.5,442598969.1,,279735000.0,279735000.0,67599109.7,35055000.0,35055000.0,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,13.2352,,17778508875.7396,416.871146273728,42647492,,0.13235235671751894,0.5366834309856021,0.005307264117218944,0.08365041288202847,18.809765714735075,2.0214465250549756,,78.4124859464186,High,1
BDI,Burundi,1023879227.4,,601229941.5,2650120.6,,109468000.0,109468000.0,35822368.6,21188598.9,14505255.1,Sub-Saharan Africa ,Low income,47.1269669797444,0.2588,,3037579858.38142,216.231928531758,14047786,,0.0025883136693080643,0.5872078712122527,,0.10691495351261192,33.70707191696932,3.4986908261598355,,72.88545165764911,High,1
BEN,Benin,14162933686.6,2790571000.0,8920517760.1,1269746000.0,,2317489000.0,2317489000.0,1144066295.4,952672658.3,200143787.1,Sub-Saharan Africa ,Lower middle income,66.5543408193995,8.9652,26.8148132358465,21482643706.4249,1485.38018885134,14462724,,0.08965275331348524,0.62984957477701,0.19703340153602833,0.1636305762126564,65.92733129193142,8.0778906455125,,979.2715180487438,Moderate,0
BFA,Burkina Faso,10845161721.4,5067696000.0,5121248650.8,0.0,,2616134000.0,2616134000.0,884322429.8,295932097.4,228428172.7,Sub-Saharan Africa ,Low income,48.7617444251463,0.0,13.6006276960344,23136514855.7646,982.493100418428,23548781,,0.0,0.4722150561106524,0.4672771259833101,0.24122590950744105,46.87465588058464,8.154073240374354,,460.5402598716256,Moderate,0
BGD,Bangladesh,104486886261.1,9292928000.0,77581679615.2,12945219000.0,,20730695000.0,20730695000.0,8596803872.8,5107969957.4,2710108231.1,South Asia,Lower middle income,22.2547977203389,12.3893,15.7658301164336,450119432068.852,2593.41611680774,173562364,21394795733.0405,0.12389324118293155,0.7425015941362519,0.08893870161637418,0.1984047543363147,23.213147182038853,8.22763906593755,0.20476058286948576,602.013500237298,Moderate,0
BTN,Bhutan,3400087106.3,43858000.0,3322918899.6,0.0,,419599000.0,419599000.0,161369542.9,157867544.7,46798177.4,South Asia,Lower middle income,,0.0,16.5776241652416,3346603858.7495,4228.05102403654,791524,941017689.206037,0.0,0.9773040500765361,0.0128990812966926,0.12340830892906468,101.59813499917749,4.746041435262037,0.2767628180649935,4295.620987234753,Moderate,0
CAF,Central African Republic,1045905200.4,,438777675.7,126466537.1,,116762000.0,116762000.0,56507514.0,14067424.6,8221891.2,Sub-Saharan Africa ,Low income,35.8540712601052,12.0915,13.3966251157824,2751494281.06887,516.160999996036,5330690,489286576.286085,0.12091586986242506,0.4195195468310055,,0.11163726880346812,38.012261468110275,5.402737645667031,0.46781159143195805,196.20446891490596,High,1
CIV,Cote d'Ivoire,40560965965.1,239965437.0,31249010244.2,4284366000.0,161496000.0,4716407000.0,4877903000.0,5387511624.7,4350206790.0,660305060.0,Sub-Saharan Africa ,Lower middle income,48.8304044647452,10.5627,24.7283736134001,87113179149.284,2727.8935220697,31934230,,0.10562780984275401,0.7704207604692572,0.005916166720646501,0.12026101656940591,46.56122800384949,13.282503255311015,,1270.1407225131152,Moderate,0
CMR,Cameroon,15770789430.1,271225000.0,12516539290.7,950896478.7,541936000.0,2323469000.0,2865405000.0,1675980009.5,1397091700.0,375847964.7,Sub-Saharan Africa ,Lower middle income,31.2876251648885,6.0294,,53296694320.2057,1830.00833684727,29123744,5061511549.89538,0.060294792655409296,0.7936533136896138,0.017197934269691167,0.18169065110533475,29.590558347482762,10.627115509520648,0.320942180626356,541.5096846785908,High,1
COD,"Congo, Dem. Rep.",12484889882.1,,7924885121.5,476015882.2,,3452865000.0,3452865000.0,471108569.1,386162036.6,105652832.0,Sub-Saharan Africa ,Low income,18.2538680171709,3.8127,1.32142230470742,75716176105.0704,692.887665085098,109276265,,0.03812735928752401,0.6347581113119924,,0.27656351258255685,16.489065513259508,3.773429910466763,,114.25070102917591,Moderate,0
COG,"Congo, Rep.",6728317971.4,8247827.1,5334336291.0,656777369.7,221576000.0,523900000.0,745476000.0,1088175957.1,1045512956.9,111217353.9,Sub-Saharan Africa ,Lower middle income,44.8962409480798,9.7613,13.5644191652699,15719986076.6464,2482.2489948456,6332961,758550233.065437,0.09761390179414196,0.7928186975815672,0.0012258378892107899,0.11079678504624604,42.801042816415624,16.1730756739723,0.11273995020595037,1062.4284550939126,In debt distress,1
COM,Comoros,385570286.6,,323974704.0,0.0,,56828000.0,56828000.0,24644205.9,16161053.6,6195459.9,Sub-Saharan Africa ,Lower middle income,24.8117198831103,0.0,17.3446983217314,1610082688.26617,1857.87060684189,866628,323945586.380687,0.0,0.8402481084754833,,0.14738687594709482,23.94723509605611,6.391624758566134,0.8401725901580067,444.90864200095086,High,1
