country_name,country_code,year,debt
China,CHN,2021,2724353650084.8
India,IND,2024,716456023890.4
Russian Federation,RUS,2013,668513124292.2
Mexico,MEX,2019,617449991504.4
Brazil,BRA,2023,607387151485.1
Turkiye,TUR,2024,514989218110.8
Indonesia,IDN,2024,421059208493.8
Argentina,ARG,2019,280683596388.0
Colombia,COL,2024,201763641280.4
Thailand,THA,2022,201051228652.9
Ukraine,UKR,2024,193492461258.9
South Africa,ZAF,2019,190747897765.0
Kazakhstan,KAZ,2021,173390460628.2
"Egypt, Arab Rep.",EGY,2023,168182236339.6
Viet Nam,VNM,2022,146621789309.1
Philippines,PHL,2024,137018240525.2
Pakistan,PAK,2023,131021002940.1
Nigeria,NGA,2024,108757630161.5
Bangladesh,BGD,2024,104486886261.1
Peru,PER,2023,93991708227.4
Lebanon,LBN,2018,79671964766.9
Uzbekistan,UZB,2024,70256401083.6
Mozambique,MOZ,2024,69765373429.6
Morocco,MAR,2023,69632222212.5
Angola,AGO,2021,66019700768.5
Ecuador,ECU,2023,61658016751.5
Sri Lanka,LKA,2023,60544707010.4
Bulgaria,BGR,2009,55682965449.1
Dominican Republic,DOM,2024,53293949023.3
Serbia,SRB,2024,51983619466.8
Senegal,SEN,2024,47146494529.5
Jordan,JOR,2024,46966040104.7
Ghana,GHA,2021,46584318739.8
Tunisia,TUN,2021,43022033493.3
Kenya,KEN,2023,42910026054.2
Belarus,BLR,2020,41792363746.1
Cote d'Ivoire,CIV,2024,40560965965.1
Mongolia,MNG,2024,38016581521.2
Ethiopia,ETH,2024,36548259483.3
Tanzania,TZA,2024,36343119611.6
Algeria,DZA,1996,33651326322.4
Paraguay,PRY,2024,29963457224.3
Zambia,ZMB,2020,29531412127.7
Iraq,IRQ,2017,28081416224.6
Guatemala,GTM,2024,27058876458.5
Georgia,GEO,2024,25163122115.7
El Salvador,SLV,2024,24961880871.3
Sudan,SDN,2020,23811151810.3
"Iran, Islamic Rep.",IRN,1993,23392435930.4
Cambodia,KHM,2023,22533630678.5
Papua New Guinea,PNG,2013,21609688423.6
Uganda,UGA,2022,21041076730.2
Lao PDR,LAO,2020,20435014770.0
Mauritius,MUS,2024,20364236675.8
Jamaica,JAM,2018,17530384500.9
Azerbaijan,AZE,2018,16463882677.6
Armenia,ARM,2024,16396165488.7
Bolivia,BOL,2023,16311190351.2
Cameroon,CMR,2024,15770789430.1
Nicaragua,NIC,2024,15490530047.6
Zimbabwe,ZWE,2023,14548534104.3
Bosnia and Herzegovina,BIH,2010,14356729617.0
Honduras,HND,2024,14299817842.8
Benin,BEN,2024,14162933686.6
Myanmar,MMR,2021,13756717822.1
"Congo, Dem. Rep.",COD,1995,13229233701.9
Rwanda,RWA,2024,13050400791.1
North Macedonia,MKD,2024,12837215392.3
Burkina Faso,BFA,2017,12771161142.4
Kyrgyz Republic,KGZ,2024,11689916629.6
Albania,ALB,2023,11315021852.5
Moldova,MDA,2023,10662682776.4
Montenegro,MNE,2020,10523512118.4
Nepal,NPL,2024,10152157325.7
Turkmenistan,TKM,2017,8650279590.8
"Congo, Rep.",COG,2019,8397253562.3
Gabon,GAB,2022,7990531656.9
"Yemen, Rep.",YEM,2014,7723142216.8
Tajikistan,TJK,2024,6977429758.2
Madagascar,MDG,2024,6653640488.3
Mali,MLI,2023,6470797281.1
Syrian Arab Republic,SYR,2009,5688619010.7
Mauritania,MRT,2020,5685048948.8
Niger,NER,2023,5613719022.6
Guinea,GIN,2024,5388299536.1
"Somalia, Fed. Rep.",SOM,2019,5374181112.2
Maldives,MDV,2024,4692462747.8
Kosovo,XKX,2024,4395488576.1
Togo,TGO,2024,4294139883.4
Suriname,SUR,2022,4194863046.5
Liberia,LBR,2006,4191788049.1
Fiji,FJI,2024,3868919895.3
Malawi,MWI,2024,3743648285.8
Chad,TCD,2014,3724337229.9
Guyana,GUY,2024,3681569057.1
Afghanistan,AFG,2021,3555784339.6
Djibouti,DJI,2024,3457016382.4
Bhutan,BTN,2024,3400087106.3
Haiti,HTI,2023,3156537449.7
Sierra Leone,SLE,2021,2531912460.6
Botswana,BWA,2012,2517445031.3
Cabo Verde,CPV,2023,2462649634.6
Lesotho,LSO,2021,1833103211.3
"Gambia, The",GMB,2024,1642671191.3
Belize,BLZ,2024,1558943630.7
Guinea-Bissau,GNB,2024,1433190116.5
Burundi,BDI,2007,1409730477.1
Eswatini,SWZ,2022,1247997284.2
St. Lucia,LCA,2024,1193706001.5
Central African Republic,CAF,2021,1111435661.5
Eritrea,ERI,2011,1051012567.3
Grenada,GRD,2021,898682923.2
St. Vincent and the Grenadines,VCT,2024,806447451.4
Dominica,DMA,2022,599233701.7
Solomon Islands,SLB,2024,596145038.0
Vanuatu,VUT,2024,519876544.1
Samoa,WSM,2021,505617952.8
Comoros,COM,2024,385570286.6
Sao Tome and Principe,STP,2004,356057555.2
Timor-Leste,TLS,2023,305742152.2
Tonga,TON,2021,223626733.7
